tweet_id,username,user_id,text,created_at,retweet_count,favorite_count,sentimiento
1884428552025629003,Oromartv,250236331,"🔵 Noticias Oromar | Una encuesta realizada por IPSOS, con un margen de error de +/-2.2%, elaborada del 20 al 24 de enero de 2025, Daniel Noboa ganaría en primera vuelta, puesto que se mantiene con una intención de voto del 45.3%, frente a un 31.3% de la candidata Luisa González. https://t.co/afU01kKbdF",Wed Jan 29 02:29:12 +0000 2025,0,0,negativo
1884428461529522588,Es Noticia,1597703412069666818,María Corina Machado agradeció al presidente Daniel Noboa por recibimiento a Edmundo González https://t.co/Nn8mXrH5CM,Wed Jan 29 02:28:50 +0000 2025,0,0,positivo
1884428408890782054,Norah Parker,1591913075317374976,@JorgeGestoso De donde saca eso?? Todas las encuestadoras dicen que Daniel Noboa gana en primera vuelta así que no confundas,Wed Jan 29 02:28:38 +0000 2025,0,0,negativo
1884427591097913541,juan pablo labrador,1148925841,Los mejores presidentes del Planeta The best presidents on the planet: Argentina JAVIER MILEI @JMilei  Ecuador DANIEL NOBOA @DanielNoboaOk  Estados Unidos DONALD TRUMP @realDonaldTrump  Italia GEORGIA MELONI @GiorgiaMeloni  El Salvador NAYIB BUKELE @nayibbukele,Wed Jan 29 02:25:23 +0000 2025,0,0,positivo
1884427448852299947,Milenium Tvi,1242191856601042945,"El Gobiero del Presidente Daniel Noboa oficializó hoy el traspaso de un terreno de 13.004,65 m² de Inmobiliar al Ministerio de Cultura y Patrimonio, destinado a la construcción del nuevo edificio del Museo Nacional. La nueva infraestructura estará ubicada en un terreno en la https://t.co/D5UBAJMrsm",Wed Jan 29 02:24:49 +0000 2025,0,0,positivo
1884426888560390242,TSiHonduras,250834697,"🔴#Internacionales |🇪🇨Presidente de Ecuador, Daniel Noboa  ofrece 250 mil barriles de petróleo como alternativa a sanciones a Venezuela🇻🇪  video CORTESÍA. https://t.co/tWhxg1I8Zd",Wed Jan 29 02:22:35 +0000 2025,0,0,negativo
1884426631860638011,Oromartv,250236331,"🔵 Noticias Oromar | Este martes 28 de enero, el líder opositor de Venezuela, Edmundo González, cumplió agenda en Ecuador. Gran parte de su itinerario se centró en el palacio de Carondelet, donde se reunió con el presidente Daniel Noboa. Más noticias en https://t.co/PUX7ngkYTx https://t.co/eQxLYqHgxq",Wed Jan 29 02:21:34 +0000 2025,0,1,negativo
1884426253882593549,Sandro Patiño,1431657486575099907,Mi apoyo total a Edmundo Gonzales pero Daniel Noboa es un usurpador del poder presidencial del pueblo Ecuatoriano y aviolentado nuestra constitucion Daniel Noboa es de la extrema izquierda no pertenece a la derecha,Wed Jan 29 02:20:04 +0000 2025,0,0,negativo
1884426139868795115,Ferrero,1875265975366672384,@ElPortalEcu Verga es lo que hay para Daniel Noboa.,Wed Jan 29 02:19:37 +0000 2025,0,0,positivo
1884425349938786460,Noticias EO Venezuela,1578789395909558278,"Daniel Noboa recibe a Edmundo González, ¿cuál es su agenda? - El Comercio https://t.co/PGoczNI475",Wed Jan 29 02:16:29 +0000 2025,0,0,negativo
1884425244649157017,Daniel Rojas Noboa,1551001944524787712,"@GamerXamir60391 @luisferayala @Construye_Ecu @CONSTRUYE25Gye @catalina78salce @RafaellaM95 Duran siempre ah Sido una ciudad de invasiones y delincuentes poca gente que trabaja,produce o paga impuestos nunca fue una ciudad funcional.",Wed Jan 29 02:16:03 +0000 2025,0,0,negativo
1884425224403206387,Job Benavides,1856310278268563457,"@Danielsalcan_ Daniel Noboa gastando el dinero de los contribuyentes en campaña demagogia y populismo como todo buen político, como todo buen socialista...",Wed Jan 29 02:15:59 +0000 2025,0,0,negativo
1884425134657691744,🎱,1712531575764566016,@DanielNoboaOk hola señor presidente de ecuador Daniel roy Gilchrist Noboa Azin necesito que me sane hoy por favor necesito más plasma Alienígena dentro de mi cuerpo para que pueda sanar todos los daños que me han hecho dentro de mi cuerpo seres con apariencia de personas. Please,Wed Jan 29 02:15:37 +0000 2025,0,0,negativo
1884424669090005159,jerialvarez,46759264,@MashiRafael @YouTube Ustedes son o se hacen??? 😂😂😂😂😂 Daniel Noboa presidente 2025-2029 una sola vuelta! 💪🏻💜🇪🇨🫡,Wed Jan 29 02:13:46 +0000 2025,0,0,negativo
1884424287760572919,El Carismático Fantasma del Espacio,75854378,Los méritos de Daniel Noboa Hay gente idiota y después está Alvaro Rosero https://t.co/ImPe3XsD98,Wed Jan 29 02:12:15 +0000 2025,1,1,positivo
1884424202846933285,Exprésate Morona Santiago,457613347,"[POLÍTICA] ATENCIÓN: #Ecuador, Noboa también ofreció hasta 250 000 barriles diarios de petróleo como alternativa para los países que actualmente adquieren crudo de #Venezuela, en caso de que se apliquen sanciones internacionales contra Maduro.  El presidente Daniel Noboa anunció https://t.co/9NXqPbyXpr",Wed Jan 29 02:11:55 +0000 2025,0,0,negativo
1884424171528012143,Fernando Monge Alarcon,1207306043384049670,"@radio_pichincha @DanielNoboaOk @ppsesa Jajajaja y porque chucha tiene que pedir disculpas Daniel Noboa a los adolescentes asaltantes y criminales,ya los vecinos dé los adolescentes están poniendo sus respectivas denuncias",Wed Jan 29 02:11:48 +0000 2025,0,0,negativo
1884423748108832983,Walter Alvarado,193743068,"@alvaro_exa Cuál fumas? La de lucho noboa? Manotones para llegar a segunda vuelta, decidieron no seguir en las calles, mitin o caravana, el pueblo detesta a Daniel Noboa. Solo les quedan las pautas, influencers, medios y redes sociales. RC5 una sola vuelta.",Wed Jan 29 02:10:07 +0000 2025,0,0,negativo
1884423719717855511,contrapunto.com,2400260346,Edmundo González tras reunión con Daniel Noboa: “Sigamos luchando unidos hasta hacer valer la victoria” (+Fotos) https://t.co/fDyRHKd68q https://t.co/EDPAQ3Uts9,Wed Jan 29 02:10:00 +0000 2025,0,0,positivo
